                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2139,                0.69076,                0.98705,                0.83018,                0.80085,                0.81081,                0.45758,                 1.3533,                0.65142,                  1.093,               0.000637,               0.000637,               0.000637
                     57,                 1.2233,                 0.6889,                0.98589,                0.86828,                0.80008,                 0.8593,                 0.4765,                 1.3679,                0.65356,                  1.088,              0.0006304,              0.0006304,              0.0006304
                     58,                 1.2047,                0.67235,                0.97919,                0.84578,                0.76653,                0.82532,                0.46803,                 1.3149,                0.66046,                 1.0873,              0.0006238,              0.0006238,              0.0006238
                     59,                 1.2086,                 0.6759,                0.98302,                0.81796,                0.78817,                0.82661,                0.47097,                 1.3262,                0.64619,                 1.0801,              0.0006172,              0.0006172,              0.0006172
                     60,                 1.1925,                 0.6675,                0.97545,                0.89742,                0.76781,                  0.851,                0.48161,                 1.3226,                0.63932,                 1.0956,              0.0006106,              0.0006106,              0.0006106
                     61,                 1.1873,                0.66936,                0.98055,                0.84961,                0.77194,                0.82062,                0.47451,                 1.3039,                0.63525,                 1.0741,               0.000604,               0.000604,               0.000604
                     62,                 1.1817,                0.65379,                0.97312,                0.88913,                0.76394,                0.83081,                0.47621,                 1.3015,                0.60994,                 1.0782,              0.0005974,              0.0005974,              0.0005974
                     63,                 1.1682,                0.64925,                0.96955,                0.87082,                0.77423,                 0.8297,                0.47768,                  1.315,                0.63648,                 1.0862,              0.0005908,              0.0005908,              0.0005908
                     64,                 1.1578,                 0.6498,                0.96714,                0.86876,                 0.7914,                0.85397,                0.49725,                 1.2742,                 0.6179,                 1.0744,              0.0005842,              0.0005842,              0.0005842
                     65,                 1.1701,                 0.6504,                0.97056,                0.88557,                0.78933,                0.85687,                0.50281,                 1.2764,                0.61518,                  1.072,              0.0005776,              0.0005776,              0.0005776
                     66,                  1.161,                0.64902,                0.96595,                0.89905,                0.79164,                0.85036,                0.49761,                  1.265,                0.61162,                 1.0644,               0.000571,               0.000571,               0.000571
                     67,                 1.1489,                0.63954,                0.96569,                0.89143,                0.76928,                0.83596,                0.48853,                 1.2677,                0.60634,                 1.0762,              0.0005644,              0.0005644,              0.0005644
                     68,                 1.1473,                0.63944,                0.96112,                0.87907,                0.77417,                0.83478,                 0.4967,                 1.2531,                0.59885,                 1.0608,              0.0005578,              0.0005578,              0.0005578
                     69,                 1.1471,                0.63654,                0.96116,                0.85356,                0.75449,                0.82447,                0.48954,                 1.2834,                0.62078,                 1.0699,              0.0005512,              0.0005512,              0.0005512
                     70,                 1.1337,                 0.6265,                0.95906,                0.90043,                0.80383,                0.86493,                0.50385,                 1.2778,                0.61282,                 1.0702,              0.0005446,              0.0005446,              0.0005446
                     71,                 1.1252,                0.62247,                0.95898,                0.87623,                0.81346,                0.86041,                 0.5123,                 1.2225,                0.60332,                 1.0499,               0.000538,               0.000538,               0.000538
                     72,                 1.1331,                0.62702,                0.95383,                0.86344,                0.80789,                0.85371,                0.50409,                 1.2584,                0.61423,                 1.0621,              0.0005314,              0.0005314,              0.0005314
                     73,                  1.133,                0.63127,                0.95729,                0.85427,                0.81725,                0.85439,                0.50499,                 1.2409,                0.59005,                 1.0585,              0.0005248,              0.0005248,              0.0005248
                     74,                 1.1052,                0.61092,                0.94623,                 0.8846,                0.81926,                0.85761,                0.50101,                 1.2325,                0.58563,                 1.0597,              0.0005182,              0.0005182,              0.0005182
                     75,                  1.107,                0.62038,                 0.9523,                0.88938,                0.80512,                0.86384,                0.50828,                 1.2176,                0.58655,                 1.0594,              0.0005116,              0.0005116,              0.0005116
                     76,                 1.1057,                0.61409,                0.95111,                0.88593,                0.77011,                 0.8458,                0.50299,                 1.2301,                0.58526,                 1.0579,               0.000505,               0.000505,               0.000505
                     77,                 1.1013,                0.61255,                0.94929,                0.91422,                0.76343,                0.86133,                0.52047,                 1.2051,                0.57717,                 1.0496,              0.0004984,              0.0004984,              0.0004984
                     78,                 1.0896,                0.60506,                0.94245,                0.88963,                0.81049,                0.86553,                0.52342,                 1.2276,                 0.5796,                 1.0525,              0.0004918,              0.0004918,              0.0004918
                     79,                 1.0805,                0.59913,                 0.9432,                0.90778,                0.81439,                0.88081,                0.53612,                 1.1976,                0.57186,                 1.0382,              0.0004852,              0.0004852,              0.0004852
                     80,                 1.0872,                0.60453,                0.94583,                0.85735,                0.79383,                0.85366,                0.50566,                 1.1958,                0.56412,                 1.0465,              0.0004786,              0.0004786,              0.0004786
                     81,                 1.0828,                0.60623,                0.94214,                0.85559,                0.81915,                0.86764,                0.51869,                 1.2008,                0.57424,                 1.0477,               0.000472,               0.000472,               0.000472
                     82,                 1.0692,                0.60047,                0.94085,                0.84109,                0.83544,                0.87034,                0.52255,                 1.2104,                0.57031,                  1.042,              0.0004654,              0.0004654,              0.0004654
                     83,                 1.0718,                0.59381,                0.93477,                0.88951,                0.83899,                0.87071,                0.52023,                 1.1744,                0.56535,                  1.044,              0.0004588,              0.0004588,              0.0004588
                     84,                 1.0674,                0.59012,                0.93803,                0.90031,                0.85373,                0.89713,                0.53635,                  1.191,                0.56079,                 1.0434,              0.0004522,              0.0004522,              0.0004522
                     85,                 1.0499,                0.58429,                0.93533,                0.82993,                0.82853,                0.85814,                0.52449,                  1.182,                 0.5592,                 1.0375,              0.0004456,              0.0004456,              0.0004456
                     86,                 1.0663,                 0.5926,                0.93809,                0.82676,                0.84717,                0.85548,                0.52632,                 1.1762,                0.56419,                 1.0381,               0.000439,               0.000439,               0.000439
                     87,                 1.0468,                0.57828,                0.93109,                0.85552,                0.85631,                0.88273,                0.52894,                 1.1742,                0.55344,                 1.0392,              0.0004324,              0.0004324,              0.0004324
                     88,                 1.0568,                0.58942,                0.93341,                 0.8567,                 0.8386,                 0.8675,                0.52641,                 1.1707,                 0.5559,                  1.032,              0.0004258,              0.0004258,              0.0004258
                     89,                 1.0455,                0.57894,                0.93361,                0.90506,                0.85756,                0.89551,                0.53938,                 1.1712,                0.55498,                 1.0357,              0.0004192,              0.0004192,              0.0004192
                     90,                 1.0355,                0.57217,                0.93051,                0.90174,                0.84331,                0.89458,                0.54593,                 1.1678,                0.54686,                  1.035,              0.0004126,              0.0004126,              0.0004126
                     91,                 1.0357,                0.57627,                0.92628,                0.91716,                0.79467,                0.88598,                0.54174,                  1.156,                0.54933,                 1.0306,               0.000406,               0.000406,               0.000406
                     92,                 1.0192,                0.56802,                0.92212,                0.94213,                0.78015,                0.88094,                0.53589,                 1.1631,                0.55074,                 1.0361,              0.0003994,              0.0003994,              0.0003994
                     93,                 1.0277,                0.56829,                0.92592,                0.89297,                0.83958,                0.88698,                0.53886,                 1.1474,                0.55205,                 1.0241,              0.0003928,              0.0003928,              0.0003928
                     94,                 1.0301,                0.57028,                0.92271,                0.87929,                0.83168,                0.87713,                0.53241,                 1.1548,                0.54883,                 1.0243,              0.0003862,              0.0003862,              0.0003862
