                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.85264,                 0.4724,                0.88608,                0.89905,                 0.8943,                0.91933,                0.59754,                  1.046,                0.50646,                 1.0053,               0.000406,               0.000406,               0.000406
                     62,                0.84503,                0.46761,                0.88205,                0.93624,                0.87612,                0.92129,                0.60255,                 1.0458,                0.50192,                 1.0003,              0.0003961,              0.0003961,              0.0003961
                     63,                0.83675,                0.46153,                0.87869,                0.91107,                0.88378,                0.91938,                0.60378,                 1.0335,                0.49935,                0.98399,              0.0003862,              0.0003862,              0.0003862
                     64,                0.83027,                0.46032,                   0.88,                0.93448,                0.87252,                0.90615,                0.58664,                 1.0544,                 0.5076,                 1.0073,              0.0003763,              0.0003763,              0.0003763
                     65,                0.82897,                0.46241,                0.87828,                0.93746,                0.87282,                0.91781,                0.60784,                 1.0231,                0.49103,                0.98546,              0.0003664,              0.0003664,              0.0003664
                     66,                0.82002,                0.45514,                0.87692,                0.93021,                0.87414,                 0.9121,                0.60689,                 1.0365,                0.48787,                 1.0007,              0.0003565,              0.0003565,              0.0003565
                     67,                0.80524,                0.44632,                0.87389,                0.94284,                0.87481,                0.91847,                0.61291,                 1.0078,                0.48804,                0.99395,              0.0003466,              0.0003466,              0.0003466
                     68,                0.80524,                0.44732,                0.87226,                0.95498,                0.88286,                0.92196,                0.60771,                 1.0377,                0.50061,                0.99402,              0.0003367,              0.0003367,              0.0003367
                     69,                0.80282,                0.44452,                0.87051,                 0.9505,                 0.8702,                0.91629,                0.61431,                 1.0083,                0.49012,                0.98357,              0.0003268,              0.0003268,              0.0003268
                     70,                0.79413,                0.44298,                0.86867,                0.94031,                 0.8815,                0.92292,                0.61653,                0.99152,                0.47868,                0.98402,              0.0003169,              0.0003169,              0.0003169
                     71,                0.78052,                0.43394,                0.87025,                0.95335,                0.88185,                0.91579,                0.62542,                0.98248,                0.48188,                0.98606,               0.000307,               0.000307,               0.000307
                     72,                0.77269,                0.42918,                 0.8642,                0.95101,                0.88147,                0.92017,                0.62512,                0.99752,                0.46353,                 0.9927,              0.0002971,              0.0002971,              0.0002971
                     73,                0.77368,                0.43502,                0.86579,                0.95821,                0.87726,                0.91815,                0.62565,                 0.9992,                0.47462,                0.99473,              0.0002872,              0.0002872,              0.0002872
                     74,                0.76721,                0.42827,                0.86401,                0.96464,                0.88183,                0.91951,                0.62675,                0.97526,                0.45637,                0.97987,              0.0002773,              0.0002773,              0.0002773
                     75,                0.76169,                0.42765,                0.86451,                0.95027,                0.87862,                 0.9207,                0.63742,                0.95235,                0.45602,                0.97265,              0.0002674,              0.0002674,              0.0002674
                     76,                0.75651,                0.42114,                0.86253,                0.93239,                0.88914,                 0.9241,                0.64327,                 0.9568,                0.46152,                0.97145,              0.0002575,              0.0002575,              0.0002575
                     77,                0.75322,                0.42656,                0.86157,                0.95629,                 0.8724,                0.91872,                0.63488,                0.96016,                0.46366,                0.97318,              0.0002476,              0.0002476,              0.0002476
                     78,                0.73886,                 0.4136,                0.85695,                0.95137,                0.87897,                0.92542,                0.64259,                 0.9469,                0.44761,                0.97253,              0.0002377,              0.0002377,              0.0002377
                     79,                0.73579,                0.40968,                0.85934,                0.95201,                0.88748,                0.92215,                0.64709,                0.94312,                0.45577,                0.97348,              0.0002278,              0.0002278,              0.0002278
                     80,                0.72335,                0.40782,                 0.8561,                 0.9403,                0.88744,                0.92249,                0.64453,                0.94398,                0.45112,                0.97413,              0.0002179,              0.0002179,              0.0002179
                     81,                0.72116,                0.40847,                0.85356,                0.94284,                0.88638,                0.92292,                0.64422,                0.94114,                0.44748,                0.97606,               0.000208,               0.000208,               0.000208
                     82,                0.72178,                 0.4041,                0.85517,                0.94693,                0.88283,                0.92244,                0.64996,                0.92479,                0.44662,                0.96806,              0.0001981,              0.0001981,              0.0001981
                     83,                0.71098,                0.40161,                0.84982,                0.92629,                0.89705,                0.92463,                0.65029,                0.92945,                0.44343,                0.96596,              0.0001882,              0.0001882,              0.0001882
                     84,                0.70009,                0.39583,                0.84766,                0.95241,                0.88945,                0.92398,                0.64845,                0.92811,                0.44274,                0.96292,              0.0001783,              0.0001783,              0.0001783
                     85,                0.70246,                0.39741,                0.85201,                0.94915,                0.88342,                0.92502,                0.65163,                0.92438,                0.44649,                0.96776,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.7024,                0.39751,                0.85032,                0.95047,                0.87589,                0.92213,                0.65092,                0.92051,                0.44643,                0.96669,              0.0001585,              0.0001585,              0.0001585
                     87,                0.69283,                0.39122,                0.84702,                0.94783,                0.88549,                0.92345,                0.65433,                0.93627,                0.44194,                0.97315,              0.0001486,              0.0001486,              0.0001486
                     88,                0.68273,                0.38764,                0.84487,                 0.9479,                0.89109,                0.92593,                0.66212,                0.91401,                0.43548,                0.96541,              0.0001387,              0.0001387,              0.0001387
                     89,                0.66848,                0.37999,                0.84378,                0.94859,                0.89067,                0.93023,                 0.6633,                0.91283,                0.43905,                0.96954,              0.0001288,              0.0001288,              0.0001288
                     90,                0.67401,                0.38141,                0.84357,                0.95691,                0.88569,                0.92562,                0.65082,                0.92119,                0.44124,                0.96969,              0.0001189,              0.0001189,              0.0001189
                     91,                0.65791,                0.35783,                0.83869,                0.94805,                0.88357,                0.92178,                0.65171,                0.91331,                0.44027,                0.97262,               0.000109,               0.000109,               0.000109
                     92,                0.62763,                0.34652,                0.83159,                0.95122,                0.89192,                0.92497,                0.64921,                0.92051,                0.43617,                0.97694,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.6172,                0.34088,                0.82946,                0.96542,                0.87738,                0.92611,                0.64065,                0.93216,                0.43691,                0.98265,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.60519,                0.33635,                0.82528,                0.95765,                0.87628,                0.93024,                 0.6495,                0.91196,                0.42789,                0.97776,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.60487,                0.33695,                0.82803,                0.96018,                0.88235,                0.92833,                0.65261,                0.90396,                0.42952,                0.97518,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.59914,                0.33278,                0.82516,                0.95792,                0.88375,                0.92868,                0.65851,                0.91042,                0.43217,                0.97406,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.59401,                0.33309,                0.82421,                0.96347,                0.88395,                0.93113,                0.66257,                0.90635,                0.42635,                0.97447,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.58687,                0.33118,                0.82297,                0.95497,                 0.8909,                0.92948,                0.66661,                0.88681,                0.42611,                0.96865,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.58151,                 0.3274,                0.82366,                0.96659,                0.88506,                0.93199,                0.66861,                0.89171,                0.42543,                0.97308,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 0.5768,                 0.3254,                0.82365,                 0.9554,                0.89094,                0.93018,                0.67083,                0.88441,                0.42202,                0.96913,               1.99e-05,               1.99e-05,               1.99e-05
